"Id";"PropertyId";"SourceId";"DestinationId";"Adults";"Children";"Rooms";"InDate";"OutDate";"Rate"
258;23509;1;285;2;1;1;"2015-08-11";"2015-08-15";143.2
259;23840;1;285;1;4;1;"2015-07-16";"2015-07-19";188.1
260;23249;1;285;2;0;1;"2015-07-24";"2015-07-26";85.5
261;23492;1;285;2;0;1;"2015-10-09";"2015-10-11";84.15
262;23634;1;285;1;0;1;"2015-07-15";"2015-07-16";65.0
263;23282;1;285;2;0;1;"2015-08-22";"2015-08-23";57.6
264;23509;1;285;2;1;1;"2015-08-11";"2015-08-15";151.2
265;9163;1;77;1;0;1;"2015-07-21";"2015-07-23";64.99
266;23505;1;285;1;0;1;"2015-09-13";"2015-09-14";159.0
267;23239;1;285;1;0;1;"2015-11-20";"2015-11-23";89.0
268;23349;1;285;2;0;1;"2015-07-18";"2015-07-19";236.55
269;23379;1;285;1;1;1;"2015-07-17";"2015-07-19";77.9
270;23212;1;285;2;0;1;"2015-07-15";"2015-07-16";105.0
271;23519;1;285;1;0;1;"2015-07-27";"2015-07-31";76.5
272;23797;1;285;3;1;1;"2015-07-16";"2015-07-19";124.0
273;23468;1;285;1;0;1;"2015-07-17";"2015-07-20";140.0
274;23353;1;285;2;0;1;"2015-08-01";"2015-08-04";208.05
275;9118;1;77;2;0;1;"2015-07-20";"2015-07-24";104.49
276;23390;1;285;1;0;1;"2015-07-14";"2015-07-15";79.0
277;2527;1;152;1;0;1;"2015-11-27";"2015-11-28";120.79
278;23830;1;285;1;0;1;"2015-07-18";"2015-07-20";109.25
279;23830;1;285;1;0;1;"2015-07-18";"2015-07-20";109.25
280;23428;1;285;1;0;1;"2015-07-17";"2015-07-18";134.0
281;23278;1;285;2;0;1;"2015-07-31";"2015-08-02";82.0
282;23840;1;285;1;4;1;"2015-07-16";"2015-07-19";198.55
283;23249;1;285;1;0;1;"2015-07-24";"2015-07-26";94.5
284;23850;1;285;1;0;1;"2015-08-16";"2015-08-21";109.0
285;23420;1;285;1;0;1;"2015-07-15";"2015-07-16";89.0
286;23608;1;285;1;0;1;"2015-07-17";"2015-07-18";83.0
